volym_id,titel,stand,ar_fran,ar_till,xml_url,pdf_url,metadata_url,period,fel
roa_1652-1655___01,"Sveriges ridderskaps och adels riksdags-protokoll. D. 5. H. 1, 1652-1654",adel,1652,1655,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1652-1655__/roa_1652-1655___01.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1652-1655__/roa_1652-1655___01.pdf,https://weburn.kb.se/riks/metadata/45/22060145.html,1652-1655,
roa_1652-1655___01,"Sveriges ridderskaps och adels riksdags-protokoll. D. 5. H. 2, 1655",adel,1652,1655,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1652-1655__/roa_1652-1655___01.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1652-1655__/roa_1652-1655___02.pdf,https://weburn.kb.se/riks/metadata/09/21799209.html,1652-1655,
bg_1654-1714__,Borgarståndets riksdagsprotokoll före frihetstiden / utg. av Stadshistoriska institutet,borgare,1654,1714,https://weburn.kb.se/riks/ståndsriksdagen/xml/bg_1654-1714__/bg_1654-1714__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bg_1654-1714__/bg_1654-1714__.pdf,https://weburn.kb.se/riks/metadata/08/21797608.html,1654-1714,
roa_1656-1658__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 6, 1656-1658",adel,1656,1658,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1656-1658__/roa_1656-1658__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1656-1658__/roa_1656-1658__.pdf,https://weburn.kb.se/riks/metadata/12/21799212.html,1656-1658,
pr_1660-1664___03,"Prästeståndets riksdagsprotokoll: på Riksdagens uppdrag ... 2, 1660-1664 / utgivna av Jan Liedgren",praster,1660,1664,https://weburn.kb.se/riks/ståndsriksdagen/xml/pr_1660-1664__/pr_1660-1664___03.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/pr_1660-1664__/pr_1660-1664___01.pdf,https://weburn.kb.se/riks/metadata/13/21798913.html,1660-1664,
roa_1660_1_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 7, 1660, Förra riksdagen",adel,1660,1660,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1660_1_/roa_1660_1_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1660_1_/roa_1660_1_.pdf,https://weburn.kb.se/riks/metadata/13/21799213.html,1660,
roa_1660_2_,"Sveriges ridderskaps och adels riksdags-protokoll. D. 8, 1660, Senare riksdagen",adel,1660,1660,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1660_2_/roa_1660_2_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1660_2_/roa_1660_2_.pdf,https://weburn.kb.se/riks/metadata/14/21799214.html,1660,
roa_1664__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 9, 1664",adel,1664,1664,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1664__/roa_1664__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1664__/roa_1664__.pdf,https://weburn.kb.se/riks/metadata/15/21799215.html,1664,
pr_1668-1678___02,"Prästeståndets riksdagsprotokoll: på Riksdagens uppdrag ... 3, 1668-1678 / utgivna av Sven Olsson",praster,1668,1678,https://weburn.kb.se/riks/ståndsriksdagen/xml/pr_1668-1678__/pr_1668-1678___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/pr_1668-1678__/pr_1668-1678___01.pdf,https://weburn.kb.se/riks/metadata/14/21798914.html,1668-1678,
roa_1668__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 10, 1668",adel,1668,1668,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1668__/roa_1668__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1668__/roa_1668__.pdf,https://weburn.kb.se/riks/metadata/17/21799217.html,1668,
roa_1672__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 11, 1672",adel,1672,1672,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1672__/roa_1672__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1672__/roa_1672__.pdf,https://weburn.kb.se/riks/metadata/18/21799218.html,1672,
roa_1675-1678__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 12, 1675-1678",adel,1675,1678,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1675-1678__/roa_1675-1678__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1675-1678__/roa_1675-1678__.pdf,https://weburn.kb.se/riks/metadata/19/21799219.html,1675-1678,
pr_1680-1714___03,"Prästeståndets riksdagsprotokoll: på Riksdagens uppdrag ... 4, 1680-1714 / utgivna av Lennart Thanner",praster,1680,1714,https://weburn.kb.se/riks/ståndsriksdagen/xml/pr_1680-1714__/pr_1680-1714___03.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/pr_1680-1714__/pr_1680-1714___01.pdf,https://weburn.kb.se/riks/metadata/15/21798915.html,1680-1714,
roa_1680__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 13, 1680",adel,1680,1680,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1680__/roa_1680__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1680__/roa_1680__.pdf,https://weburn.kb.se/riks/metadata/21/21799221.html,1680,
roa_1682-1683__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 14, 1682-1683",adel,1682,1683,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1682-1683__/roa_1682-1683__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1682-1683__/roa_1682-1683__.pdf,https://weburn.kb.se/riks/metadata/23/21799223.html,1682-1683,
roa_1686-1689__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 15, 1686, 1689",adel,1686,1689,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1686-1689__/roa_1686-1689__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1686-1689__/roa_1686-1689__.pdf,https://weburn.kb.se/riks/metadata/24/21799224.html,1686-1689,
roa_1693-1697__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 16, 1693, 1697",adel,1693,1697,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1693-1697__/roa_1693-1697__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1693-1697__/roa_1693-1697__.pdf,https://weburn.kb.se/riks/metadata/27/21799227.html,1693-1697,
bn_1710-1800_reg_,Förteckning över bondeståndets ledamöter vid riksdagarna 1710-1800 / av Ludvig Mårtensson,bonder,1710,1800,https://weburn.kb.se/riks/ståndsriksdagen/xml/bn_1710-1800_reg_/bn_1710-1800_reg_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bn_1710-1800_reg_/bn_1710-1800_reg_.pdf,https://weburn.kb.se/riks/metadata/17/21798717.html,1710-1800,
roa_1710_1713-1714__,"Sveriges ridderskaps och adels riksdags-protokoll. D. 17, 1710, 1713-1714",adel,1710,1710,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1710_1713-1714__/roa_1710_1713-1714__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1710_1713-1714__/roa_1710_1713-1714__.pdf,https://weburn.kb.se/riks/metadata/31/21799231.html,1710,
bg_1719-1720___02,"Borgarståndets riksdagsprotokoll från frihetstidens början. 1, 1719-1720",borgare,1719,1720,https://weburn.kb.se/riks/ståndsriksdagen/xml/bg_1719-1720__/bg_1719-1720___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bg_1719-1720__/bg_1719-1720___01.pdf,https://weburn.kb.se/riks/metadata/13/21797613.html,1719-1720,
pr_1719-1720___02,"Prästeståndets riksdagsprotokoll: på Riksdagens uppdrag ... 5, 1719-1720 / utg. av Lennart Thanner",praster,1719,1720,https://weburn.kb.se/riks/ståndsriksdagen/xml/pr_1719-1720__/pr_1719-1720___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/pr_1719-1720__/pr_1719-1720___01.pdf,https://weburn.kb.se/riks/metadata/16/21798916.html,1719-1720,
bg_1719-1866_reg_,Svenska riksdagens borgarstånd 1719-1866: personhistoriska anteckningar / af Viktor Millqvist,borgare,1719,1866,https://weburn.kb.se/riks/ståndsriksdagen/xml/bg_1719-1866_reg_/bg_1719-1866_reg_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bg_1719-1866_reg_/bg_1719-1866_reg_.pdf,https://weburn.kb.se/riks/metadata/16/21797616.html,1719-1866,
rda_1719-1723___02,"Svenska riksdagsakter jämte andra handlingar som höra till statsförfattningens historia. Ser. 2, Tidehvarfvet 1719-1800, D. 1, 1719-1723 / utgifven av Riksarkivet genom Theodor Westrin",adel,1719,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/rda_1719-1723__/rda_1719-1723___02.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/rda_1719-1723__/rda_1719-1723___01.pdf,https://weburn.kb.se/riks/metadata/74/21799174.html,1719-1723,
roa_1719-1720__,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. D. 1. H. 1, 1719",adel,1719,1720,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1719-1720__/roa_1719-1720__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1719-1720__/roa_1719-1720__.pdf,https://weburn.kb.se/riks/metadata/33/21799233.html,1719-1720,
